id,price,price_m,area,room,year,loc,url,offer,seller,addons,market,floor,floor_count,seller_type,base_year
ID4kwiB,449000,8980,50.0,3,1900,"Nadodrze, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwiB,"Przy parku Staszica, świetne na wynajem, 1 piętro",Świat Nieruchomości Bracia Juszczak S.C.,piwnica,wtórny,1,4,Biuro nieruchomości,2023
ID4kwnr,498378,9148,54.48,3,0,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwnr,3 pokoje\ 54 mkw \miejsce postojowe\ TWÓJ DORADCA,Biuro Sprzedaży Mieszkań,brak informacji,pierwotny,1,no data,Biuro nieruchomości,2023
ID4kwdW,489000,12636,38.7,2,2024,"Wrocław, Osobowice, ul. Jarocińska",https://www.otodom.pl/pl/oferta/ID4kwdW,"Apartament G2 o powierzchni 34,70 m2 + balkon",MT Project Sp. z o.o.,brak informacji,pierwotny,1,2,Deweloper,2023
ID4kwvi,499000,7677,65.0,3,0,"Wrocław, Fabryczna, ul. Strzegomska",https://www.otodom.pl/pl/oferta/ID4kwvi,Okazja! Mieszkanie 3 pokojowe z oddzielną kuchnią!,SPRAWDZONY POŚREDNIK NIERUCHOMOŚCI,"piwnica, oddzielna kuchnia, pom. użytkowe",wtórny,3,4,Biuro nieruchomości,2023
ID4kwal,721000,12017,60.0,3,2023,"Wrocław, Centrum, wyspa Kępa Mieszczańska",https://www.otodom.pl/pl/oferta/ID4kwal,Narożne z dużym balkonem 27m2 Kępa Mieszczańska,OTO NIERUCHOMOŚCI,brak informacji,pierwotny,2,6,Biuro nieruchomości,2023
ID4kwiw,589000,7853,75.0,4,2023,"Bieńkowice, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwiw,"Mieszkanie, 75 m², Wrocław",NIERUCHOMOSCI Bokś,brak informacji,pierwotny,2,3,Biuro nieruchomości,2023
ID4kwnz,604274,9193,65.73,4,0,"Krzyki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwnz,4 pokoje\ 65 mkw \miejsce postojowe\ TWÓJ DORADCA,Biuro Sprzedaży Mieszkań,brak informacji,pierwotny,4,no data,Biuro nieruchomości,2023
ID4kwzn,412942,10293,40.12,2,0,"Wrocław, Jagodno, ul. Buforowa",https://www.otodom.pl/pl/oferta/ID4kwzn,2 pokoje\ 41 mkw \2miejsca postojowe\ TWÓJ DORADCA,Biuro Sprzedaży Mieszkań,brak informacji,pierwotny,4,no data,Biuro nieruchomości,2023
ID4kws5,500000,9091,55.0,3,2022,"Wrocław, Jagodno, ul. Buforowa",https://www.otodom.pl/pl/oferta/ID4kws5,Gotowe mieszkanie czeka na Twój odbiór.,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,3,4,Biuro nieruchomości,2023
ID4kwpp,649000,10269,63.2,3,2021,"Muchobór Wielki, Wrocław, Wrocław",https://www.otodom.pl/pl/oferta/ID4kwpp,"2 balkony, garaż, wysoki standard, Na Już!",RENOMAHOME,brak informacji,wtórny,1,2,Biuro nieruchomości,2023
ID4jjO8,449000,10562,42.51,2,1930,"Wrocław, Biskupin, ul. Karola Olszewskiego",https://www.otodom.pl/pl/oferta/ID4jjO8,"Mieszkanie 2 pok Biskupin ul. Olszewskiego 42,51m2",Emzo Nieruchomości,piwnica,wtórny,3,3,Biuro nieruchomości,2023
ID4hZxY,480000,7732,62.08,3,1928,"Wrocław, Kuźniki, ul. Dziwnowska",https://www.otodom.pl/pl/oferta/ID4hZxY,3-pokojowe mieszkanie z własnym ogródkiem,homfi sp. z o.o.,"piwnica, oddzielna kuchnia",wtórny,parter,1,Biuro nieruchomości,2023
ID4kwuX,499000,8095,61.64,3,1905,"Wrocław, Ołbin, ul. Ignacego Daszyńskiego",https://www.otodom.pl/pl/oferta/ID4kwuX,Mieszkanie Inwestycyjne w Świetnej Lokalizacji,Inter Estate Nieruchomości,brak informacji,wtórny,4,5,Biuro nieruchomości,2023
ID4kwyN,439200,8520,51.55,2,2023,"Wrocław, Brochów, ul. Boiskowa",https://www.otodom.pl/pl/oferta/ID4kwyN,kameralne osiedle/o.miejskie/pętla autobusowa/park,OTO NIERUCHOMOŚCI,oddzielna kuchnia,pierwotny,2,3,Biuro nieruchomości,2023
